Neuron,total_gen_endpoints,total_errors,total_facets,all_accuracies
864691135334773481,42,17,24,"[1.0, 1.0, 0.5, 0.0, 0.5, 1.0, 0.6666666666666666]"
864691135360418631,7,0,4,"[0.0, 0.0, 0.0, 1.0, 1.0]"
864691135396741921,53,21,28,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.5, 0.0, 0.7]"
864691135445907602,34,14,18,"[1.0, 0.5, 0.6666666666666666, 0.5, 0.5, 0.5, 0.0, 0.0, 0.6666666666666666, 0.5, 0.5]"
864691135463797061,32,14,17,"[0.0, 1.0, 0.5, 0.0, 0.5, 1.0]"
864691135501859650,89,37,51,"[0.5, 0.0, 0.5, 0.0, 0.5, 0.5, 0.6666666666666666, 0.5, 0.6, 1.0, 0.8571428571428571, 0.6666666666666666, 0.6666666666666666, 0.5]"
864691135526309723,25,10,13,"[1.0, 0.0, 1.0, 0.5, 1.0, 1.0, 0.0, 1.0]"
864691135544674088,49,19,30,"[0.3333333333333333, 1.0, 0.5, 0.45454545454545453, 0.5]"
864691135614361291,52,19,31,"[1.0, 0.8571428571428571, 0.5, 0.5, 0.8, 0.0, 0.5, 1.0, 0.5, 0.5, 0.0]"
864691135614368971,42,14,27,"[0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.5, 0.5, 0.0, 0.0, 0.25, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]"
864691135683615218,48,17,26,"[1.0, 0.4, 0.0, 0.4, 0.5, 1.0, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0]"
864691135837578899,13,1,7,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.5]"
864691135864989916,11,4,6,"[0.0, 1.0]"
864691136390697343,38,13,24,"[0.5, 0.5, 1.0, 0.5, 0.0, 1.0, 0.5]"
864691136577830164,24,8,13,"[1.0, 0.6666666666666666, 0.0, 0.75, 0.0, 0.0]"
